date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:29:29	216354/216354	---M--	200	added ('OK')	application/javascript	etag:%224ca0763-34d22-581426b34cb80%22	http://bootstraplovers.com/bootstrap4/resto-2.3/html/assets/js/plugins/plugins.js	bootstraplovers.com/bootstrap4/resto-2.3/html/assets/js/plugins/plugins.js	(from http://bootstraplovers.com/bootstrap4/resto-2.3/html/one-page.html)
17:29:29	3222/3222	---M--	200	added ('OK')	application/javascript	etag:%224ca0761-c96-560666a2fc700%22	http://bootstraplovers.com/bootstrap4/resto-2.3/html/assets/js/onepage-custom.js	bootstraplovers.com/bootstrap4/resto-2.3/html/assets/js/onepage-custom.js	(from http://bootstraplovers.com/bootstrap4/resto-2.3/html/one-page.html)
17:29:33	5441/5441	---M--	200	added ('OK')	application/javascript	etag:%224ca0757-1541-53d85e48ddb80%22	http://bootstraplovers.com/bootstrap4/resto-2.3/html/assets/js/imagesloaded.pkgd.min.js	bootstraplovers.com/bootstrap4/resto-2.3/html/assets/js/imagesloaded.pkgd.min.js	(from http://bootstraplovers.com/bootstrap4/resto-2.3/html/one-page.html)
17:29:36	34695/34695	---M--	200	added ('OK')	application/javascript	etag:%224ca0758-8787-53e0edfc13a00%22	http://bootstraplovers.com/bootstrap4/resto-2.3/html/assets/js/isotope.pkgd.min.js	bootstraplovers.com/bootstrap4/resto-2.3/html/assets/js/isotope.pkgd.min.js	(from http://bootstraplovers.com/bootstrap4/resto-2.3/html/one-page.html)
17:29:36	11152/11152	---M--	200	added ('OK')	application/javascript	etag:%224ca0754-2b90-5000895a65e80%22	http://bootstraplovers.com/bootstrap4/resto-2.3/html/assets/js/bootstrap-clockpicker.min.js	bootstraplovers.com/bootstrap4/resto-2.3/html/assets/js/bootstrap-clockpicker.min.js	(from http://bootstraplovers.com/bootstrap4/resto-2.3/html/one-page.html)
17:29:44	32927/32927	---M--	200	added ('OK')	application/javascript	etag:%224ca0755-809f-53e624ae82c00%22	http://bootstraplovers.com/bootstrap4/resto-2.3/html/assets/js/bootstrap-datepicker.min.js	bootstraplovers.com/bootstrap4/resto-2.3/html/assets/js/bootstrap-datepicker.min.js	(from http://bootstraplovers.com/bootstrap4/resto-2.3/html/one-page.html)
17:29:44	23070/23070	---M--	200	added ('OK')	application/javascript	etag:%224ca075e-5a1e-54d75bd2e6500%22	http://bootstraplovers.com/bootstrap4/resto-2.3/html/assets/js/jquery.validate.min.js	bootstraplovers.com/bootstrap4/resto-2.3/html/assets/js/jquery.validate.min.js	(from http://bootstraplovers.com/bootstrap4/resto-2.3/html/one-page.html)
17:29:48	1465/1465	---M--	200	added ('OK')	application/javascript	etag:%224ca0764-5b9-54262501f2580%22	http://bootstraplovers.com/bootstrap4/resto-2.3/html/assets/js/reservation-custom.js	bootstraplovers.com/bootstrap4/resto-2.3/html/assets/js/reservation-custom.js	(from http://bootstraplovers.com/bootstrap4/resto-2.3/html/one-page.html)
17:30:00	62656/62656	---M--	200	added ('OK')	application/javascript	etag:%224ca0832-f4c0-5441a35eb3a00%22	http://bootstraplovers.com/bootstrap4/resto-2.3/html/assets/revolution/js/jquery.themepunch.revolution.min.js	bootstraplovers.com/bootstrap4/resto-2.3/html/assets/revolution/js/jquery.themepunch.revolution.min.js	(from http://bootstraplovers.com/bootstrap4/resto-2.3/html/one-page.html)
17:30:06	23869/23869	---M--	200	added ('OK')	application/javascript	etag:%224ca0824-5d3d-54221d2f24500%22	http://bootstraplovers.com/bootstrap4/resto-2.3/html/assets/revolution/js/extensions/revolution.extension.video.min.js	bootstraplovers.com/bootstrap4/resto-2.3/html/assets/revolution/js/extensions/revolution.extension.video.min.js	(from http://bootstraplovers.com/bootstrap4/resto-2.3/html/one-page.html)
